Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG CÔNG NGHỆ MỚI HẢI MINH,1900695067,,0939 114 222,,Chi cục Thuế Thành Phố Bạc Liêu,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ DU LỊCH THIÊN PHÚC,CTY TNHH MTV SX TM DV DL THIÊN PHÚC,"Ấp 1A, Xã Phong Thạnh Tây A, Huyện Phước Long, Tỉnh Bạc Liêu, Việt Nam",,,2024-08-22,Chi cục Thuế khu vực Phước Long - Hồng Dân,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH XUẤT NHẬP KHẨU THỦY SẢN XUÂN DƯƠNG BẠC LIÊU,XUAN DUONG BAC LIEU SEAFOOD IMPORT EXPORT COMPANY LIMITED,1900695042,"Ấp Phước Hòa, Xã Lộc Ninh, Huyện Hồng Dân, Tỉnh Bạc Liêu, Việt Nam",DANH DƯƠL,0919 114 183,2024-08-22,Chi cục Thuế khu vực Phước Long - Hồng Dân,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV THỦY SẢN HOÀNG KHÁNG,1900695099,,0917464939,,Chi cục Thuế khu vực Giá Rai - Đông Hải,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN THỦY SẢN THẮNG LỢI,1900695074,,0944 516 118,,Chi cục Thuế Thành Phố Bạc Liêu,,,,
CÔNG TY TNHH TRUYỀN THÔNG ĐIỀN LÂM MEDIA,CÔNG TY TNHH ĐIỀN LÂM MEDIA,"Tầng 1, Số 113, Đường Võ Thị Sáu, Khóm 6, Phường 3, Thành phố Bạc Liêu, Tỉnh Bạc Liêu, Việt Nam",,,2024-08-27,Chi cục Thuế Thành Phố Bạc Liêu,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN NĂNG LƯỢNG TÁI TẠO ĐÔNG HẢI 13,DONG HAI 13 RENEWABLE ENERGY JOINT STOCK COMPANY,"Ấp Minh Điền, Xã Long Điền Đông, Huyện Đông Hải, Tỉnh Bạc Liêu, Việt Nam",,,2024-08-26,Chi cục Thuế khu vực Giá Rai - Đông Hải,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH PHONG LỮ,1900695109,,0931025926,,Cục Thuế Tỉnh Bạc Liêu,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ BẢO LIỄU,CTY TNHH MTV TM DV BẢO LIỄU,"Ấp Gia Hội, Xã Hưng Thành, Huyện Vĩnh Lợi, Tỉnh Bạc Liêu, Việt Nam",,,2024-08-15,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH XÂY DỰNG SẢN XUẤT THƯƠNG MẠI DỊCH VỤ MINH CHÂU,1900694923,,0878 454 992,,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,,,
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG CÁT TƯỜNG BẠC LIÊU,CÔNG TY TNHH ĐTXD CÁT TƯỜNG BẠC LIÊU,"Ấp 17, Xã Vĩnh Hậu A, Huyện Hòa Bình, Tỉnh Bạc Liêu, Việt Nam",,,2024-08-28,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THỦY HẢI SẢN QUỐC AN,QUOC AN SEAFOODS COMPANY LIMITED,1900695194,"Ấp Lung Xình, Xã Định Thành, Huyện Đông Hải, Tỉnh Bạc Liêu, Việt Nam",CHÂU KIỀU LY,0908 144 777,2024-08-28,Chi cục Thuế khu vực Giá Rai - Đông Hải,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV LONG SÓC TRĂNG,CÔNG TY TNHH MTV LONG ST,"Số 770, đường Hàm Nghi, Khóm 4, Phường 5, Thành phố Bạc Liêu, Tỉnh Bạc Liêu, Việt Nam",,,2024-08-28,Chi cục Thuế Thành Phố Bạc Liêu,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MỘT THÀNH VIÊN TRỌNG SỸ CG,1900695162,,0374 116417,,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN THANH LONG CG,1900695155,,0941 041412,,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,,,
CÔNG TY TNHH NGỌC PHƯƠNG NHƯ,1900695187,,0355454554,,Chi cục Thuế khu vực Phước Long - Hồng Dân,,,,
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG NAM HẠO,1900695204,,0944 824 533,,Chi cục Thuế khu vực Phước Long - Hồng Dân,,,,
CHI NHÁNH CÔNG TY TNHH DỊCH VỤ VỆ SINH TRẦN ĐIỀN,2001336623-001,,2024-07-31,,,,,,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN VẬN TẢI HOÀNG NHÂN,1900674846-001,,0917 694 665,,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,,,
CHI NHÁNH BẠC LIÊU - CÔNG TY TNHH MTV THƯƠNG MẠI MỸ PHẨM THANH CHIỂU,CN BẠC LIÊU - CTY TNHH MTV TM MP THANH CHIỂU,"Số 36, Đường số 13, KDC Tràng An, Khóm 1, Phường 7, Thành phố Bạc Liêu, Tỉnh Bạc Liêu, Việt Nam",,,2024-08-20,Chi cục Thuế khu vực Phước Long - Hồng Dân,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT NGUYỄN GIA,1900695236,,034 4986131,,Chi cục Thuế khu vực Giá Rai - Đông Hải,,,,
CÔNG TY TNHH MTV XÂY DỰNG QUỲNH VY 68,1900695229,,0911 799 107,,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ TEOCHEW,TEOCHEW PRODUCTION - TRADING - SERVICES ONE MEMBER COMPANY LIMITED,1900695211,"160C Hòa Bình, Phường 3, Thành phố Bạc Liêu, Tỉnh Bạc Liêu, Việt Nam",QUÁCH SỈ THÀNH,0787 999 644,2024-09-04,Chi cục Thuế Thành Phố Bạc Liêu,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN VẬN TẢI LÊ ÁNH DƯƠNG,1900695243,,0917 694 695,,Chi cục Thuế khu vực Hòa Bình - Vĩnh Lợi,,,,
CÔNG TY TNHH CHÂU THÀNH BL,CHAU THANH BL COMPANY LIMITED,"Đường số 11, khu dân cư Phúc Lộc Thọ, Ấp Tân Tạo, Thị Trấn Châu Hưng, Huyện Vĩnh Lợi, Tỉnh Bạc Liêu, Việt Nam",,,,,,,
VĂN PHÒNG ĐẠI DIỆN TẠI BẮC NINH - CÔNG TY CỔ PHẦN PHÁT TRIỂN NGUỒN NHÂN LỰC VIN HR,3603521921-022,,0909965977,,Chi cục Thuế khu vực Từ Sơn - Yên Phong,,,,
CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP CÙNG TIẾN,CUNG TIEN GENERAL TRADING COMPANY LIMITED,"Thôn Chè, Xã Liên Bão, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Tiên Du - Quế Võ,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DỊCH VỤ ĐÀO TẠO THÀNH CÔNG,THANH CONG TRAINING SERVICES COMPANY LIMITED,"Xóm Tự, thôn Dương Sơn, Phường Tam Sơn, Thành phố Từ Sơn, Tỉnh Bắc Ninh, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Từ Sơn - Yên Phong,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH CÔNG NGHỆ ĐỊNH HỒNG VIỆT NAM,DINHHONG TECHNOLOGY VIETNAM COMPANY LIMITED,2301301780,"Tầng 1, Số 14 Nguyễn Đăng Đạo, Phường Tiền An, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",VÕ THỊ TRÚC GIANG,0966311855,2024-09-05,Chi cục Thuế Thành phố Bắc Ninh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH CÔNG TY TNHH DU HỌC VÀ GIÁO DỤC BẮC NINH,BAC NINH EDUCATION AND STUDY ABROAD COMPANY LIMITED,2301301903,"CL16/38 KDT Him Lam Green Park, Phường Đại Phúc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",VŨ THỊ THU HIỀN,,,,,
CÔNG TY TNHH TRUNG TÂM DU HỌC VÀ GIÁO DỤC TRÍ VIỆT,TRI VIET EDUCATION AND STUDY ABROAD CENTER COMPANY LIMITED,2301301974,"Phòng HH504, Tầng 5, Tòa nhà Trung Thành, Số 10 Đường Nguyễn Đăng Đạo, Phường Tiền An, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",TRẦN DANH ĐẠT,,,,,
CÔNG TY TNHH GIẤY TÂN HOÀNG GIA,2301301981,,,,,,,,
CÔNG TY TNHH KUAIK VIỆT NAM,KUAIK VIETNAM COMPANY LIMITED,2301301928,"Khu 10, Phường Đại Phúc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",NGÂN THỊ HẠNH,,,,,
CÔNG TY TNHH IN ẤN TEM NHÃN VÀ BAO BÌ HOA YẾN,HOA YEN PACKAGING AND LABEL PRINTING COMPANY LIMITED,2301301910,"Thôn Nghĩa Xá, Xã Nghĩa Đạo, Thị xã Thuận Thành, Tỉnh Bắc Ninh, Việt Nam",NGUYỄN THỊ YẾN,,,,,
CÔNG TY TNHH NÔNG SẢN LONG PHÚC MINH,LONG PHUC MINH AGRICULTURAL PRODUCTS COMPANY LIMITED,2301301967,"Khu Hòa Đình, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",BÙI THỊ VÂN ANH,,,,,
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI LIANXIN QIBANG VIỆT NAM,"VIETNAM LIANXIN QIBANG BUSINESS SERVICE CO., LTD.","Lô số LK20 Dự án Khu đô thị mới Nam Võ Cường, Đường Lý Anh Tông, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",,,,,,,
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ NAM HÀO,2301302015,,,,,,,,
CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ COMPUTER ANH QUÂN,ANH QUAN COMPUTER INVESTMENT AND TECHNOLOGY DEVELOPMENT COMPANY LIMITED,2301302008,"Số 338 đường Đa Cấu, Phường Nam Sơn, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",PHẠM ĐÌNH TÙNG,,,,,
CÔNG TY TNHH DỊCH VỤ KHO VẬN SHIPLA VIỆT NAM,SHIPLA VIETNAM LOGISTICS SERVICES COMPANY LIMITED,2301301999,"Tầng 2 Thửa đất số 437, tờ bản đồ số 59, Đường Xuân Ổ B, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",ĐOÀN THỊ THU HƯƠNG,,,,,
CÔNG TY TNHH GIA DỤNG HỮU TÂN,2301302079,,,,,,,,
CÔNG TY TNHH HỆ THỐNG TIN VIỆT XLTHV,2301302086,,,,,,,,
CÔNG TY TNHH CÔNG NGHỆ HOQICLU,TECHNOLOGY HOQICLU COMPANY LIMITED,2301302093,"Số 61 Khu phố Nguyễn Giáo, Phường Đồng Nguyên, Thành phố Từ Sơn, Tỉnh Bắc Ninh, Việt Nam",NGÔ THÙY DUNG,,,,,
CÔNG TY TNHH VẬT LIỆU MỚI JABO VIỆT NAM,JABO VIETNAM NEW MATERIALS COMPANY LIMITED,2301302061,"Lô số 5 Cụm công nghiệp Mả Ông, Phường Đình Bảng, Thành phố Từ Sơn, Tỉnh Bắc Ninh, Việt Nam",VŨ THỊ HUẾ,,,,,
CÔNG TY CỔ PHẦN BAO BÌ HẢI QUÂN,HAI QUAN PACKAGING STOCK COMPANY,2301302054,"Lô K1-1 KCN Đại Đồng - Hoàn Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",LẠI TRỌNG QUÂN,,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ PHÁT TRIỂN SỮA HÀ NAM VIỆT NAM,2301302047,,,,,,,,
CÔNG TY TNHH DVTM THOI TRANG IVY MODA,2301302110,,,,,,,,
CÔNG TY TNHH CÔNG NGHIỆP MINH HUY VIỆT NAM,MINH HUY VIETNAM INDUSTRIAL COMPANY LIMITED,2301302135,"Căn nhà gắn liền với thửa đất số 171 tờ bản đồ số 111, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",PHAN THỊ LỆ,,,,,
CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GIA BẢO VIỆT NAM,GIA BAO VIET NAM ELECTRONICS COMPANY LIMITED,2301302128,"Căn nhà số 5 Phan Huy Chú, Khu Trầu Cau, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",PHẠM THỊ NGỌC LỆ,,,,,
CÔNG TY TNHH ARMACELL GUANGZHOU,ARMACELL GUANGZHOU COMPANY LIMITED,2301302142,"Tầng 3 số 16 đường Huyền Quang, Phường Ninh Xá, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",NGUYỄN VĂN HẢI,,,,,
CÔNG TY TNHH CUNG ỨNG NHÂN LỰC NĂM CHÂU NEW ERA,2301302103,,,,,,,,
CÔNG TY TNHH TƯ VẤN THIẾT KẾ XÂY DỰNG KIM LONG,CTY TNHH TV TK XD KIM LONG,"Số nhà 836/1 Ấp Chợ, Xã Phú Phụng, Huyện Chợ Lách, Tỉnh Bến Tre, Việt Nam",,,2024-08-30,Chi cục Thuế khu vực Chợ Lách - Mỏ Cày Bắc,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV THƯƠNG MẠI DỊCH VỤ VÀ SẢN XUẤT LINH LÊ BT,1301133781,,0911628072,,Chi cục Thuế khu vực Ba Tri - Giồng Trôm,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THẮNG LỢI LỚN,1301133774,,0588939078,,Chi cục Thuế khu vực Chợ Lách - Mỏ Cày Bắc,,,,
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ QUỐC ĐẠT YẾN - PHÚ KHƯƠNG,CN CTY TNHH TM - DV QUỐC ĐẠT YẾN - PHÚ KHƯƠNG,"Số 54C, khu phố 6, Phường Phú Khương, Thành phố Bến Tre, Tỉnh Bến Tre, Việt Nam",,,2024-08-28,Chi cục Thuế khu vực Bến Tre - Châu Thành,,Đang hoạt động (đã được cấp GCN ĐKT),
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ QUỐC ĐẠT YẾN - PHƯỜNG 5,CN CTY TNHH TM - DV QUỐC ĐẠT YẾN - PHƯỜNG 5,"188B, khu phố 2, Phường 5, Thành phố Bến Tre, Tỉnh Bến Tre, Việt Nam",,,2024-08-28,Chi cục Thuế khu vực Bến Tre - Châu Thành,,Đang hoạt động (đã được cấp GCN ĐKT),
CHI NHÁNH CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI HƯNG THUẬN PHÚC TẠI BẾN TRE,0318445995-002,,0946982628,,Chi cục Thuế khu vực Bến Tre - Châu Thành,,,,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG SAN LẤP HÙNG HÀ,VPĐD CÔNG TY CP TM XD SAN LẮP HÙNG HÀ,"Thửa đất số 758, tờ bản đồ số 07, ấp Bình Thành, Xã Bình Phú, Thành phố Bến Tre, Tỉnh Bến Tre, Việt Nam",,,2024-08-08,Cục Thuế Tỉnh Bến Tre,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI PHÚC GIA LINH,1301133799,,0396887698,,Chi cục Thuế Huyện Bình Đại,,,,
CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ P.A.S - CỬA HÀNG XĂNG DẦU SỐ 3,0105782763-010,,0961826039,,Chi cục Thuế khu vực Bến Tre - Châu Thành,,,,
VĂN PHÒNG ĐẠI DIỆN THÀNH PHỐ BẾN TRE - CÔNG TY CỔ PHẦN NGHIÊN CỨU ĐÀO TẠO VÀ PHÁT TRIỂN KỸ NĂNG SỐNG - STEAM QUỐC TẾ VIỆT,0316882132-008,,0984927189,,Chi cục Thuế khu vực Bến Tre - Châu Thành,,,,
CHI NHÁNH CÔNG TY TNHH MTV SẢN XUẤT - DỊCH VỤ - THƯƠNG MẠI SONG TƯỜNG,0317213617-001,,0936666437,,Chi cục Thuế khu vực Bến Tre - Châu Thành,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN XÂY DỰNG & THƯƠNG MẠI ONE MY,CTY TNHH XD & TM ONE MY,"547D, khu phố 3, Phường 8, Thành phố Bến Tre, Tỉnh Bến Tre, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Bến Tre - Châu Thành,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TƯ VẤN VÀ HỖ TRỢ PHÁT TRIỂN GIÁO DỤC HÒA NHẬP ÁNH SÁNG,Cty TNHH Tư vấn & HTPT GDHN Ánh Sáng,"Số A1/16, đường Cơ Khí, ấp 2, Xã Sơn Đông, Thành phố Bến Tre, Tỉnh Bến Tre, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Bến Tre - Châu Thành,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ THANH VẬN,CTY TNHH TM - DV THANH VẬN,"Thửa đất số 69, tờ bản đồ số 20, Ấp Thành Hóa 1, Xã Tân Thành Bình, Huyện Mỏ Cày Bắc, Tỉnh Bến Tre, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Chợ Lách - Mỏ Cày Bắc,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH LOGISTICS THIÊN KHÔI - CHI NHÁNH BA TRI,0318607780-001,,0818580279,,Chi cục Thuế khu vực Ba Tri - Giồng Trôm,,,,
CÔNG TY TNHH THƯƠNG MẠI DUNG PHẠM BT,1301133848,,0397296203,,Chi cục Thuế Huyện Bình Đại,,,,
CHI NHÁNH CÔNG TY TNHH TMDV HỆ THỐNG NHA KHOA SÀI GÒN - SỐ 28,1301120461-008,,0988817415,,Chi cục Thuế khu vực Bến Tre - Châu Thành,,,,
CÔNG TY TNHH TM DV HUỲNH SONG KIM – CHI NHÁNH 002,0318077195-002,,0386744339,,Chi cục Thuế khu vực Ba Tri - Giồng Trôm,,,,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TOTAL SWISS VIỆT NAM TẠI TỈNH BẾN TRE,TOTAL SWISS VIETNAM COMPANY LIMITED - REPRESENTATIVE OFFICE IN BEN TRE PROVINCE,0311580554-008,"02 Ấp Hòa Hưng, Xã Hòa Lộc, Huyện Mỏ Cày Bắc, Tỉnh Bến Tre, Việt Nam",NGUYỄN THỊ MỸ NGỌC,0909656258,2024-07-26,Cục Thuế Tỉnh Bến Tre,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
DOANH NGHIỆP TƯ NHÂN KINH DOANH GAS BÌNH AN,DNTN KD GAS BÌNH AN,"Thửa đất số 84, tờ bản đồ số 17, ấp An Hòa, Xã An Bình Tây, Huyện Ba Tri, Tỉnh Bến Tre, Việt Nam",,,,,,,
CÔNG TY TNHH ĐẦU TƯ KINH DOANH TỔNG HỢP LƯU MINH,1301133887,,,,,,,,
CÔNG TY TNHH KINH DOANH PHÁT TRIỂN TẤN ĐẠT,1301133862,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI IN ẤN BAO BÌ LINH XUÂN,1301133894,,,,,,,,
CÔNG TY TNHH CARPET TEXTILE NGỌC SƠN NGUYỄN,NGOC SON NGUYEN CARPET TEXTILE COMPANY LIMITED,1301133904,"Số 77D, Quốc lộ 60, Khu phố 7, Thị Trấn Mỏ Cày, Huyện Mỏ Cày Nam, Tỉnh Bến Tre, Việt Nam",NGUYỄN NGỌC SƠN,,,,,
CÔNG TY TNHH TM DV FT NGỌC DUNG,1301133911,,,,,,,,
CÔNG TY TNHH XIN WANG DA,4101645280,,0337994739,,Chi cục Thuế khu vực Tuy Phước - Vân Canh,,,,
CÔNG TY TNHH ĐẦU TƯ VÀ XÂY DỰNG TÂY TIẾN,4101645587,,0963700559,,Chi cục Thuế khu vực Phù Cát - Phù Mỹ,,,,
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ BÌNH FURNITURE,CÔNG TY TNHH SX TM DV BÌNH FURNITURE,"556 Âu Cơ, Phường Bùi Thị Xuân, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",,,2024-08-27,Chi cục Thuế Thành phố Quy Nhơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THI CÔNG XÂY DỰNG LẮP GIÁP HOÀNG HUY,HOANG HUY ARMOR INSTALLATION BUILD CONSTRUCTION COMPANY LIMITED,"295/8 Đường Hoàng Văn Thụ, Phường Ngô Mây, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",,,2024-08-28,Chi cục Thuế Thành phố Quy Nhơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KIẾN TRÚC NỘI THẤT HOÀNG KHUÊ,4101645594,,0971499993,,Chi cục Thuế Thành phố Quy Nhơn,,,,
CÔNG TY TNHH MẪU NHÀ ĐẸP QUY NHƠN,CTY TNHH MẪU NHÀ ĐẸP QUY NHƠN,"Số 969 Trần Hưng Đạo , Phường Đống Đa, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",,,2024-08-29,Chi cục Thuế Thành phố Quy Nhơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN PHÁT TRIỂN BẤT ĐỘNG SẢN NHẤT TÍN,NHAT TIN REAL ESTATE DEVELOPMENT JOINT STOCK COMPANY,4101645668,"Lô số 10, CC Simona đường Hoàng Văn Thụ, Phường Ngô Mây, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",NGUYỄN XUÂN KIỆT,093 444 2899,2024-08-30,Chi cục Thuế Thành phố Quy Nhơn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH VỆ SĨ ĐẤT VIỆT,4101645629,,079 562 4339,,Chi cục Thuế Thị xã An Nhơn,,,,
CÔNG TY TNHH XUÂN NGUYÊN XI MĂNG,4101645682,,0908231399,,Chi cục Thuế Thành phố Quy Nhơn,,,,
CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI MESCO,MESCO Construction and Trading Joint Stock Company,4101645717,"Bình An 1, Xã Phước Thành, Huyện Tuy Phước, Tỉnh Bình Định, Việt Nam",PHẠM ĐÌNH TRUNG,0915185207,2024-08-30,Chi cục Thuế khu vực Tuy Phước - Vân Canh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI MIỀN TRUNG,MIEN TRUNG TRADING INVESTMENT JOINT STOCK COMPANY,4101645555,"86 đường Hùng Vương, Phường Nhơn Bình, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",NGUYỄN THỊ THÙY TRANG,0908217286,2024-08-26,Chi cục Thuế Thành phố Quy Nhơn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH DỊCH VỤ SỬA CHỮA ÔTÔ PHƯƠNG THỊNH,CTY PHƯƠNG THỊNH,"Khu phố Giao Hội 1, Phường Hoài Tân, Thị xã Hoài Nhơn, Tỉnh Bình Định, Việt Nam",,,2024-08-30,Chi cục Thuế khu vực Hoài Nhơn - Hoài Ân - An Lão,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH ĐẦU TƯ TM GIANG NAM,4101645643,,0896600450,,Chi cục Thuế khu vực Tuy Phước - Vân Canh,,,,
CÔNG TY TNHH THƯƠNG MẠI KIM HỢP NGUYÊN,KIM HOP NGUYEN COMMERCIAL COMPANY LIMITED,4101645650,"64 Hoàng Văn Thái, Phường Đống Đa, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",TRƯƠNG THỊ LAN,0976802355,2024-09-04,Chi cục Thuế Thành phố Quy Nhơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH ST APARTMENT,4101645724,,0964915595,,Chi cục Thuế Thành phố Quy Nhơn,,,,
CÔNG TY TNHH DỊCH VỤ PHƯỚC ĐẠT,CÔNG TY TNHH DV PHƯỚC ĐẠT,"Hẻm 21 đường Hoàng Quốc Việt, Phường Hoài Tân, Thị xã Hoài Nhơn, Tỉnh Bình Định, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Hoài Nhơn - Hoài Ân - An Lão,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH XĂNG DẦU MINH PHƯƠNG BÌNH ĐỊNH,MINH PHUONG BINH DINH PETROLEUM COMPANY LIMITED,4101645749,"05 Đội Cung, Phường Bùi Thị Xuân, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",NGUYỄN THỊ MINH HẰNG,0962 891 711,2024-09-05,Chi cục Thuế Thành phố Quy Nhơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRƯỜNG VĨNH AUTO,TRUONG VINH AUTO TRADING SERVICES COMPANY LIMITED,4101645756,"366 Hùng Vương, Phường Nhơn Bình, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",LÊ TRƯỜNG VĨNH,0899928892,2024-09-05,Chi cục Thuế Thành phố Quy Nhơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH DV HOÀNG QUÂN AUTO,AUTO HOÀNG QUÂN,"Lô F20 Đường Điện Biên Phủ, Phường Nhơn Bình, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",,,,,,,
CÔNG TY TNHH PHÁT TRIỂN TM&DV PHƯƠNG TRANG,PHUONG TRANG TM&DV DEVELOPMENT COMPANY LIMITED,"Thôn Tân Phụng 2, Xã Mỹ Thọ, Huyện Phù Mỹ, Tỉnh Bình Định, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Phù Cát - Phù Mỹ,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TẤN GIA BÌNH,"TAN GIA BINH CO., LTD",4101645805,"139 Văn Tiến Dũng, Phường Trần Quang Diệu, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",ĐOÀN THÙY THÚY MY,,,,,
